org_id,pc1,pc2
ORG_233075659,0.039041884,-0.14465848
ORG_300246447,0.039900452,-0.025690185
ORG_880716533,-0.015572975,0.06809443
ORG_222750814,-0.033142224,0.003510242
ORG_472833230,-0.10572306,0.017999966
ORG_421253180,0.12961085,0.21840367
ORG_222935986,-0.0048471214,-0.13341792
ORG_042917821,0.008467004,-0.010471987
ORG_883955199,0.0360065,-0.2104359
ORG_823631438,0.030720735,-0.049059913
ORG_455499518,-0.017093685,-0.041244913
ORG_830392410,0.027565539,-0.039525736
ORG_471028481,0.028446216,-0.020873314
ORG_464194489,-0.06544423,-0.019226374
ORG_270265867,-0.051352583,-0.011566922
ORG_226047101,0.056756705,-0.06347624
ORG_831109636,0.07744333,-0.09013053
ORG_041383404,-0.031137487,-0.043548852
ORG_391652422,-0.0038385564,-0.024132343
ORG_264690017,0.13053213,0.11460695
ORG_863525133,0.06481358,-0.05628704
ORG_561380816,-0.0024808005,-0.1077643
ORG_460964759,-0.03564302,-0.18120739
ORG_881247123,0.0041467086,0.057542812
ORG_300097419,0.048954174,-0.058443896
ORG_141730723,0.12979218,0.17171976
ORG_570955900,0.018157583,-0.30762783
ORG_464972001,0.0794697,0.08064553
ORG_382790490,0.016728388,-0.030446729
ORG_825510172,0.14027983,0.16312064
ORG_521974885,-0.09024387,-0.10661844
ORG_061208499,0.04611765,-0.062208496
ORG_362672201,0.040145215,0.24386828
ORG_237155690,0.022623483,-0.060680304
ORG_113553485,0.03119688,-0.08424651
ORG_262918949,0.0141562475,-0.082400315
ORG_300195592,0.0315991,-0.16384292
ORG_390447789,0.05638515,0.05432668
ORG_273755977,0.037182443,-0.12977193
ORG_900810110,0.013376151,-0.17567919
ORG_841908369,0.11765842,0.14994678
ORG_134092123,-0.04783874,-0.061763555
ORG_472125384,0.063534185,-0.10707389
ORG_821475066,0.08257036,0.19759975
ORG_611400316,0.039670836,-0.031319052
ORG_412504700,0.08559278,0.22574751
ORG_333142305,0.02662334,0.004565967
ORG_833996933,-0.047401045,-0.06288384
ORG_232273337,-0.048267804,-0.14699706
ORG_331352336,-0.2027626,-0.012650117
ORG_391934034,-0.08920227,0.058273915
ORG_463564365,0.022407884,-0.18577877
ORG_262418224,0.015321378,-0.1050968
ORG_824770407,0.008415769,-0.012875024
ORG_223934120,0.05663842,-0.12187923
ORG_223505831,0.027949808,0.050045673
ORG_934015942,-0.03576411,-0.048181377
ORG_541833299,-0.05485564,-0.004543055
ORG_204423030,-0.028327072,-0.09775431
ORG_133039588,-0.28205687,0.036698755
ORG_260840659,0.088512965,0.17720069
ORG_843875323,-0.12580808,-0.003712057
ORG_562102527,0.014319624,-0.006153397
ORG_472992470,0.051624365,-0.10175514
ORG_900987155,0.08409545,0.14612998
ORG_452779311,0.06902491,-0.099136055
ORG_146080109,0.041360673,-0.027553739
ORG_271497087,0.010187317,0.06596217
ORG_874836529,0.021951117,-0.15144144
ORG_455566438,-0.008408566,-0.09603564
ORG_932202705,0.0042039477,-0.07236759
ORG_333643547,0.062067065,-0.19922063
ORG_300171048,0.0085245725,-0.101427585
ORG_800249854,0.09885003,-0.058523946
ORG_815073736,0.0029626624,-0.048165165
ORG_464091927,-0.04730737,-0.123864435
ORG_133858884,0.030446446,-0.15207057
ORG_205758511,0.015981104,-0.051106237
ORG_842164785,0.023584923,-0.039380156
ORG_263928774,0.103390746,-0.040114705
ORG_320144731,-0.07344088,-0.036558494
ORG_920513300,0.07875398,0.12293899
ORG_522289797,0.013987215,-0.13993295
ORG_263720346,0.08911169,-0.038277708
ORG_264758944,-0.005473958,-0.12196031
ORG_264840272,0.08778328,-0.09946918
ORG_271153006,-0.032121897,-0.034382727
ORG_271211718,0.055480525,-0.05690323
ORG_271315889,0.074299864,-0.061452113
ORG_262996572,0.052820064,0.013211409
ORG_271425339,0.11975815,0.17776643
ORG_271500338,0.040617313,-0.14410992
ORG_272359833,0.06228474,-0.06188421
ORG_262304222,-0.022919368,-0.03421462
ORG_272853497,0.042316914,0.25683725
ORG_995113050,0.07973766,0.22207862
ORG_273675662,0.103088915,0.28365096
ORG_237029745,0.0028128868,-0.040160615
ORG_274582946,0.06433155,0.023937456
ORG_261496209,0.02019269,-0.049327713
ORG_300234729,-0.029578729,-0.030009763
ORG_300353431,0.023913585,0.0119692935
ORG_300447996,-0.8360035,0.21551107
ORG_300450069,-0.292985,0.07552115
ORG_300587148,0.008331547,-0.05276723
ORG_300590853,-0.23263119,-0.006439591
ORG_300614813,-0.030624524,-0.001960631
ORG_300983306,0.03689564,-0.12911119
ORG_301018819,0.17566682,0.25183213
ORG_260129495,0.03577295,-0.08481541
ORG_310952843,-0.102587186,-0.03951932
ORG_233027241,0.115080066,0.2411347
ORG_233021691,0.032285664,-0.06991689
ORG_237360150,0.051596843,-0.055727348
ORG_311676030,-0.035398997,0.0042544594
ORG_311680156,0.035370804,-0.05007911
ORG_311682748,0.014680721,0.013030119
ORG_237253632,0.069760844,-0.028511934
ORG_232760073,-0.0112151615,-0.11446719
ORG_320124755,-0.4007753,0.06297205
ORG_320201937,-0.59128594,0.17046165
ORG_320220018,-0.8360035,0.21551107
ORG_320248525,-0.056651276,-0.025453284
ORG_320248462,-0.221931,0.09519887
ORG_320497898,-0.8360035,0.21551107
ORG_320515763,-0.007873245,-0.06331232
ORG_320720294,-0.28287435,-0.18632294
ORG_331184379,0.03994707,-0.048480168
ORG_331237831,-0.08601271,0.028658751
ORG_331267867,0.026833307,-0.044627838
ORG_331543608,0.046735972,0.14359206
ORG_331667859,0.08394475,0.15391022
ORG_331737008,0.09878296,-0.10221202
ORG_331788418,-0.031378623,-0.11182532
ORG_332031862,0.027530996,-0.072819054
ORG_332377616,0.035247054,-0.11842845
ORG_331107104,0.06009794,0.31460077
ORG_331122784,0.027081061,0.07771421
ORG_334178051,-0.04493877,-0.0005352501
ORG_334586913,0.07865747,0.095629886
ORG_334660383,0.037550755,-0.01040569
ORG_334672551,-0.019481625,-0.114781946
ORG_334744752,0.107718825,0.12707451
ORG_334942502,-0.4007753,0.06297205
ORG_335019294,0.18552719,0.17660503
ORG_335064813,0.06738278,0.15215348
ORG_237149869,-0.0081627965,0.010626487
ORG_232106161,0.12561232,0.29699388
ORG_341632568,0.07901315,-0.006589007
ORG_341658391,-0.1360337,-0.08964213
ORG_341946892,-0.48732674,0.07099636
ORG_273275906,0.04930356,0.20211779
ORG_351139393,-0.0032815605,-0.001254255
ORG_208754447,0.04438995,-0.16380616
ORG_226045788,-0.06985497,0.0075072967
ORG_208527803,-0.48732674,0.07099636
